P/R,pitch,V_sim,V_theory,V_theory_over_V_sim,omega_sim,omega_theory,omega_theory_over_omega_sim,Eta_power,Eta_slip,pct_error_vs_theory,steady_state_status,omega_steady_state_status,invalid_result,failure_reason,stiffness_status,deformation_exceeded
2.0,0.02,1.002397613667085e-06,1.2035636865743017e-06,1.2006849080289486,0.0015881011415812,0.0016465405470106,1.0367982894157575,0.0007964412912815,0.1982949886892517,16.71420259278465,OK,TRANSIENT_LIKELY,False,NONE,OK,False
2.5,0.025,1.6487861896825048e-06,1.5770073353748385e-06,0.9564656383242218,0.0021419107264774,0.001865978805918,0.8711748733742982,0.0015976409882653,0.1934651903766486,4.551586584129949,TRANSIENT_LIKELY,OK,False,NONE,OK,False
3.0,0.03,1.914437324272e-06,1.906045497427405e-06,0.9956165570226821,0.0025176708562625,0.0020385270892002,0.8096876857948013,0.0018324630677967,0.1592578372911798,0.4402742146460643,TRANSIENT_LIKELY,OK,False,NONE,OK,False
3.5,0.035,2.0170097768548225e-06,2.181370605961862e-06,1.0814873735333754,0.002635897561353,0.0021743855972908,0.8249127846131824,0.0019428503768546,0.1373698104659101,7.534750338059378,TRANSIENT_LIKELY,OK,False,NONE,OK,False
4.0,0.04,2.186491636615988e-06,2.401642133326228e-06,1.098399871788774,0.0026494025495496,0.0022816524183355,0.8611950715920395,0.0022714311046406,0.1296342464812665,8.958474442329212,TRANSIENT_LIKELY,OK,False,NONE,OK,False
4.5,0.045,2.360425756599792e-06,2.5702262511219245e-06,1.0888824797541405,0.0027271695351524,0.0023666876515666,0.8678183079785483,0.0025717007448693,0.120849696127868,8.162724757423714,TRANSIENT_LIKELY,OK,False,NONE,OK,False
5.0,0.05,2.4829304330809515e-06,2.6928960046472704e-06,1.084563614336058,0.0028813692258951,0.0024344435953304,0.8448912320753124,0.0026932834809975,0.1082867955670373,7.797017456447273,TRANSIENT_LIKELY,OK,False,NONE,OK,False
6.0,0.06,2.559532337402297e-06,2.827148668944722e-06,1.1045567300056198,0.0033449993128149,0.002532568629287,0.7571208219937662,0.0024653414997508,0.0801296426479853,9.465944769091925,TRANSIENT_LIKELY,TRANSIENT_LIKELY,False,NONE,OK,False
7.0,0.07,2.465019392342387e-06,2.8547923171404823e-06,1.15812164642961,0.0039264286732879,0.0025972926253239,0.6614898273827517,0.0019480264324996,0.0563513670223196,13.653284775143062,TRANSIENT_LIKELY,TRANSIENT_LIKELY,False,NONE,OK,False
8.0,0.08,2.26908313361443e-06,2.815651797210339e-06,1.2408764383723914,0.0045500354483574,0.0026412300365671,0.5804855954519225,0.0014244195074348,0.0391674690442302,19.41179886438487,TRANSIENT_LIKELY,TRANSIENT_LIKELY,False,NONE,OK,False
9.0,0.09,2.0287772031743867e-06,2.737549678008569e-06,1.3493594435727987,0.0051656727154909,0.0026719234162004,0.5172459742150901,0.0010029833025902,0.0274185717407998,25.890762112115507,TRANSIENT_LIKELY,TRANSIENT_LIKELY,False,NONE,OK,False
10.0,0.1,1.782051525886468e-06,2.638697345068359e-06,1.4807076600974034,0.0057451300761505,0.0026939576244754,0.46891151092621997,0.0006958129791737,0.0194894803349502,32.464724337671186,TRANSIENT_LIKELY,TRANSIENT_LIKELY,False,NONE,OK,False
